#     GroupValue           area          Error         center          Error           FWHM          Error           area          Error         center          Error           FWHM          Error
      0.4000000       65.92389     0.01225883      0.7667075  1.552417E-005      0.1122922  2.818805E-005       125.5508       12.38625       3.500000      0.0000000       2.499022     -0.0000000
      0.6000000       61.98952     0.01357831      0.9869655  2.092743E-005      0.1302838  3.673037E-005       25.30452    0.009867960       1.500000      0.0000000      0.8620260   0.0003305496
      0.7000000       62.68477     0.01400048       1.130546  2.175739E-005      0.1427803  4.202158E-005       37.85599     0.01155073       2.200000      0.0000000       1.458893   0.0004546655
      0.8000000       61.18998     0.01518402       1.264682  2.233974E-005      0.1382252  4.378641E-005       52.60014     0.01412465       2.400000      0.0000000       1.583647   0.0004255571
      0.9000000       73.28850     0.01559605       1.283162  2.301237E-005      0.1612711  4.468884E-005       70.11269     0.01497922       2.700000      0.0000000       1.823774   0.0003919382
       1.000000       79.92641     0.01526612       1.293223  1.936038E-005      0.1419469  3.539629E-005       78.82832     0.01491992       3.000000      0.0000000       1.987309   0.0003809360
       1.200000       109.2523     0.01679645       1.277440  1.718944E-005      0.1502036  3.015293E-005       97.79300     0.01581602       3.300000      0.0000000       2.155151   0.0003494202
       1.300000       133.0581     0.01881218       1.228948  1.678485E-005      0.1562049  2.859389E-005       109.6824     0.01716875       3.300000      0.0000000       2.243070   0.0003612529
       1.400000       171.0503     0.02123948       1.174078  1.505851E-005      0.1626765  2.617900E-005       120.5396     0.01819884       3.300000      0.0000000       2.310881   0.0003623383
       1.500000       231.9601     0.02364574       1.055452  1.096713E-005      0.1384399  1.830383E-005       125.1052     0.01797009       3.500000      0.0000000       2.412792   0.0003628631
       1.600000       294.9639     0.02672722       1.000923  1.128087E-005      0.1553041  1.789815E-005       124.2674     0.01838455       3.500000      0.0000000       2.526707   0.0004015001
       1.700000       454.7386     0.03312191      0.8801601  9.343503E-006      0.1718222  1.668946E-005       119.5972     0.01891169       3.500000      0.0000000       2.735407   0.0004809416
       1.800000       541.9702     0.03609141      0.8388579  8.396004E-006      0.1638149  1.437512E-005       123.9558     0.01959267       3.500000      0.0000000       2.781394   0.0004972405
       1.900000       667.9104     0.04012806      0.8159873  7.900489E-006      0.1749678  1.397940E-005       124.0887     0.02032420       3.500000      0.0000000       2.872797   0.0005426809
       2.000000       683.9577     0.04070255      0.8656601  8.424291E-006      0.1868544  1.466647E-005       133.1213     0.02096508       3.500000      0.0000000       2.839991   0.0005098569
       2.100000       546.3996     0.03661112       1.058258  1.054149E-005      0.2056562  1.815134E-005       170.9138     0.02244300       3.500000      0.0000000       2.620181   0.0003736906
       2.200000       425.6665     0.03965487       1.186743  1.283832E-005      0.2129016  2.538637E-005       313.0249     0.03486558       2.500000      0.0000000       1.843513   0.0002083940
       2.300000       330.0262     0.03700387       1.456518  1.865857E-005      0.2643161  3.721485E-005       400.3811     0.03749363       2.800000      0.0000000       1.960702   0.0001778886
       2.400000       250.7542     0.03738144       1.508049  2.258189E-005      0.2668792  4.950297E-005       489.0189     0.04213406       2.800000      0.0000000       1.986772   0.0001564821
       2.500000       217.7982     0.03182672       1.874795  3.959630E-005      0.4233179  7.419426E-005       514.7532     0.03983446       3.500000      0.0000000       2.269859   0.0001704554
       2.600000       101.5839     0.03183859       1.913560  5.483392E-005      0.3518613   0.0001307226       629.8818     0.04613620       3.500000      0.0000000       2.402043   0.0001601838
       2.700000       160.9569     0.02687686       2.135659  5.541187E-005      0.5107908  9.792735E-005       543.4376     0.04270547       4.200000      0.0000000       2.426127   0.0002356935
       2.800000       109.5908     0.03401574       2.192850  7.200725E-005      0.5187880   0.0001526021       617.9871     0.06389880       4.500000      0.0000000       2.799485   0.0003907073
       2.900000       82.12939     0.04717259       2.311445  9.107806E-005      0.5329081   0.0002794765       697.5482     0.09741375       5.000000      0.0000000       3.320922   0.0005632327
